user_name,rating,title,content,date,verified,full_text,sentiment,sarcasm_detected,sarcasm_probability,sentiment_scores
Zobra Music,3,Love the equipment but customer service is bad,Love their equipment but customer service is so ignorant you can't keep a relationship with the brand and this will be crucial to maintain sales.,2026-04-10T14:46:19.000Z,,Love the equipment but customer service is bad Love their equipment but customer service is so ignorant you can't keep a relationship with the brand and this will be crucial to maintain sales.,weighted_negative,False,0.006008244,"Neg:0.85, Neu:0.12, Pos:0.03"
Beck W.,1,Overcharged & no refund,"I’ve been subscribed to YouTube Premium through Apple for over 3 years, paying £16.99/month for a service that actually costs £12.99 when purchased directly online — something that was never clearly disclosed.

Over that time, I was overcharged by £146 for absolutely no difference in the service provided.
As soon as I realised, I cancelled and switched to paying the correct price. Apple refused to refund any of the difference, hiding behind policy rather than acknowledging the lack of pricing transparency.
It’s incredibly frustrating that loyal customers can be quietly overcharged through the App Store, with no accountability when it’s discovered.",2026-04-10T14:24:15.000Z,,"Overcharged & no refund I’ve been subscribed to YouTube Premium through Apple for over 3 years, paying £16.99/month for a service that actually costs £12.99 when purchased directly online — something that was never clearly disclosed.

Over that time, I was overcharged by £146 for absolutely no difference in the service provided.
As soon as I realised, I cancelled and switched to paying the correct price. Apple refused to refund any of the difference, hiding behind policy rather than acknowledging the lack of pricing transparency.
It’s incredibly frustrating that loyal customers can be quietly overcharged through the App Store, with no accountability when it’s discovered.",weighted_negative,False,0.009064729,"Neg:0.82, Neu:0.16, Pos:0.01"
Phil Edwards,1,Apple and DPD fail to deliver,"I recently ordered an iPad and a birthday present and it failed to arrive yesterday.. I contacted Apple who assured me that my complaint regarding non-delivery was be an escalated to DPD. Day two, the iPad has still not been delivered. What a letdown! 
Apple, why have you awarded the delivery contract to DPD? When it fails to deliver on a constant basis?",2026-04-09T23:36:51.000Z,,"Apple and DPD fail to deliver I recently ordered an iPad and a birthday present and it failed to arrive yesterday.. I contacted Apple who assured me that my complaint regarding non-delivery was be an escalated to DPD. Day two, the iPad has still not been delivered. What a letdown! 
Apple, why have you awarded the delivery contract to DPD? When it fails to deliver on a constant basis?",weighted_negative,False,0.010176947,"Neg:0.92, Neu:0.07, Pos:0.01"
E T,1,Aggressive harmful updates and forceful…,Aggressive harmful updates and forceful update notifications.,2026-04-09T18:27:13.000Z,,Aggressive harmful updates and forceful… Aggressive harmful updates and forceful update notifications.,weighted_negative,False,0.0062786047,"Neg:0.84, Neu:0.15, Pos:0.01"
Kristina S,5,I just purchased an Apple MacBook Air…,"I just purchased an Apple MacBook Air M2 and i came from a windows system. I have never in my life believed that an laptop can work so well, can move so well and be fast. I really think that this might be the best option for anyone who is looking to purchase a laptop in 2026. Worth all the money!",2026-04-09T16:28:10.000Z,,"I just purchased an Apple MacBook Air… I just purchased an Apple MacBook Air M2 and i came from a windows system. I have never in my life believed that an laptop can work so well, can move so well and be fast. I really think that this might be the best option for anyone who is looking to purchase a laptop in 2026. Worth all the money!",Positive,False,0.007314711,"Neg:0.00, Neu:0.02, Pos:0.98"
Bubbe ,1,Loyal Apple customers left to pay for lack of service delivery,"""Booked a confirmed Genius Bar appointment for iPhone 14 battery replacement. Arrived to be told no stock - no prior notification given. Apple refused to offer any remedy and refused to respond in writing. Forced to purchase a replacement phone ($1,399) ahead of international travel. Formal complaint lodged with Consumer Affairs Victoria (Case C2026/03/012492).""",2026-04-09T06:57:10.000Z,,"Loyal Apple customers left to pay for lack of service delivery ""Booked a confirmed Genius Bar appointment for iPhone 14 battery replacement. Arrived to be told no stock - no prior notification given. Apple refused to offer any remedy and refused to respond in writing. Forced to purchase a replacement phone ($1,399) ahead of international travel. Formal complaint lodged with Consumer Affairs Victoria (Case C2026/03/012492).""",weighted_negative,False,0.028260102,"Neg:0.88, Neu:0.11, Pos:0.01"
annaliese davies,1,Plebs,Apple is a joke i recently updated my iphone and it’s saying i need to verify my age with my bank card which i’ve tried numerous times and it’s not worked now i can’t purchase things online!! I am furious and will be leaving more bad reviews in the future!  plebs ,2026-04-09T01:43:50.000Z,,Plebs Apple is a joke i recently updated my iphone and it’s saying i need to verify my age with my bank card which i’ve tried numerous times and it’s not worked now i can’t purchase things online!! I am furious and will be leaving more bad reviews in the future!  plebs ,weighted_negative,False,0.007370904,"Neg:0.93, Neu:0.06, Pos:0.01"
Travi,5,Love my new iphone,Love my new iphone,2026-04-08T22:59:18.000Z,,Love my new iphone Love my new iphone,Positive,False,0.007793114,"Neg:0.00, Neu:0.01, Pos:0.99"
Keeley,1,I had one of my worst in-store customer experiences,"Worst in-store customer  experiences ever  
 @  Apple, Brent Cross, North London.
 
Total absence of customer service skills and even basic courtesy and manners.

Awful.",2026-04-08T20:50:06.000Z,,"I had one of my worst in-store customer experiences Worst in-store customer  experiences ever  
 @  Apple, Brent Cross, North London.
 
Total absence of customer service skills and even basic courtesy and manners.

Awful.",weighted_negative,False,0.035182312,"Neg:0.95, Neu:0.04, Pos:0.01"
Reka,1,iPhone & ecosystem problems,Used iPhone. Not easy to download the pictures on a not ecosystem device. Basically no sense. ,2026-04-08T18:48:40.000Z,,iPhone & ecosystem problems Used iPhone. Not easy to download the pictures on a not ecosystem device. Basically no sense. ,weighted_negative,False,0.023034306,"Neg:0.89, Neu:0.10, Pos:0.01"
Jonas Becker,1,I purchased a IPad Pro,"I purchased a IPad Pro, but it cannot even move files from one disk to another, what kind of shitshow is this? 2000+€ for a useless piece of shit? My old (2018) Windows Laptop can handle it better than this stupid „high end“ device. Avoid Apple IPads if you actually want to do something productive",2026-04-08T17:47:30.000Z,,"I purchased a IPad Pro I purchased a IPad Pro, but it cannot even move files from one disk to another, what kind of shitshow is this? 2000+€ for a useless piece of shit? My old (2018) Windows Laptop can handle it better than this stupid „high end“ device. Avoid Apple IPads if you actually want to do something productive",weighted_negative,False,0.007839027,"Neg:0.92, Neu:0.06, Pos:0.01"
